,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Date,Ad Name,Date première diffusion,Date dernière diffusion,Durée (jour),SUM de Impr,SUM de Cost,SUM de Clic,Signup,Total 2-sec views,Total Install,Total Signup,,,,,,,,,,,
2026-01-01,_001,25/01,03/04,93,430 362,490,1 550,162,75 675,92,"70,0 €",,,,,,,,,,✅,Carrousel iPhone
2026-01-01,SHORT_THEORY_9-16_tableau_CuJ9zrIW.mp4,01/01,16/02,47,110 816,245,341,88,12 366,57,"31,0 €",,,,,,,,,,✅,Quai Metro
2026-01-01,Alors c’est vraiment pas seulement pour la #collab j’attends mes résultats et je vous laisserai savoir dès que je les ai haha,01/01,15/04,105,231 367,196,732,98,53 103,71,"27,0 €",,,,,,,,,,✅,v2 : Ecran de Metro
2026-01-01,#CapCut,01/01,16/02,47,121 909,138,408,56,19 098,33,"23,0 €",,,,,,,,,,✅,Short Maman Joie
2026-01-01,Scop_RS_916_POVCAM_SI ÇA TE SAOULE DE RÉVISER TON CODE.mp4,01/01,16/02,47,30 251,59,79,3,2 365,2,"1,0 €",,,,,,,,,,,
2026-01-01,Scop_RS_916_POVCAM_PASSE TON CODE RAPIDEMENT.mp4,01/01,16/02,47,33 809,40,60,10,1 566,7,"3,0 €",,,,,,,,,,,
2026-01-01,chasr-rs-video-9-16-code-vanina-LiveTikTok-hook1_YteVF9Qo.mp4,01/01,16/02,47,23 822,35,68,19,3 027,10,"9,0 €",,,,,,,,,,,
2026-01-01,SHORT_THEORY_9-16_secret_5sfznyC2.mp4,01/01,16/02,47,11 420,18,38,3,1 912,1,"2,0 €",,,,,,,,,,,
2026-01-01,SHORT_THEORY_9-16_micro_oDVuNxkU.mp4,01/01,02/03,61,8 784,16,33,7,2 243,4,"3,0 €",,,,,,,,,,,
2026-01-01,SHORT_THEORY_9-16_Maman_ef0C1Dxh.mp4,01/01,01/04,91,8 425,15,36,2,2 575,2,"0,0 €",,,,,,,,,,,
2026-01-01,TTCX_175795110111_snaptik_7543559839289462038_v2.mp4,01/01,05/01,5,1 739,2,5,1,264,1,"0,0 €",,,,,,,,,,,
2026-01-01,TTCX_17579511016_snaptik_7541025327053622550_v2.mp4,01/01,05/01,5,586,2,0,1,58,1,"0,0 €",,,,,,,,,,,
2026-01-01,RS_Theory_Rebrand_LaDevinette.mp4,01/01,05/01,5,539,1,1,0,35,0,"0,0 €",,,,,,,,,,,
2026-01-01,RS_Theory_Rebrand_LePremierCoup.mp4,01/01,05/01,5,119,0,0,0,10,0,"0,0 €",,,,,,,,,,,
2026-01-01,TTCX_17579511015_snaptik_7542516443372440854_v2.mp4,01/01,05/01,5,33,0,0,0,6,0,"0,0 €",,,,,,,,,,,
2026-01-01,chasr-rs-video-9-16-conduite-leia-storytime-hook2.mp4,01/01,13/05,133,71,0,0,4,15,1,"3,0 €",,,,,,,,,,,
2026-01-01,chasr-rs-video-9-16-conduiteCPF-dorian-VraieQuestion-hook3.mp4,01/01,20/02,51,26,0,0,0,4,0,"0,0 €",,,,,,,,,,,
2026-01-01,chasr-rs-video-9-16-conduiteCPF-dorian-ReponseArticle-hook2.mp4,01/01,20/02,51,19,0,0,1,4,0,"1,0 €",,,,,,,,,,,
2026-01-02,_001,19/01,03/04,93,426 971,511,1 539,194,71 559,122,"72,0 €",,,,,,,,,,,
2026-01-02,Alors c’est vraiment pas seulement pour la #collab j’attends mes résultats et je vous laisserai savoir dès que je les ai haha,01/01,15/04,105,235 061,211,731,152,48 920,99,"53,0 €",,,,,,,,,,,
2026-01-02,SHORT_THEORY_9-16_tableau_CuJ9zrIW.mp4,01/01,16/02,47,97 980,206,266,72,9 574,46,"26,0 €",,,,,,,,,,,
2026-01-02,#CapCut,01/01,16/02,47,146 262,158,461,64,21 812,41,"23,0 €",,,,,,,,,,,
2026-01-02,chasr-rs-video-9-16-code-vanina-LiveTikTok-hook1_YteVF9Qo.mp4,01/01,16/02,47,36 223,49,111,14,3 838,7,"7,0 €",,,,,,,,,,,
2026-01-02,Scop_RS_916_POVCAM_PASSE TON CODE RAPIDEMENT.mp4,01/01,16/02,47,38 071,46,87,13,1 906,7,"6,0 €",,,,,,,,,,,
