,,,Comment c'est filmé/produit,Idée creative,Levier de persuasion,,,
Ad name,Produit,Realisation,Format,Concept,Angle,Sous-angle,Version,URL Apercu
Envoie ça à un(e) ami(e) qui révise le code ! 💜 #permisdeconduire #codedelaroute #humour #passerlepermis,Theory,Inhouse,Screen recording,UI Hack,Bénéfice,Réussite du code,App Switcher,https://v16m-default.tiktokcdn.com/dc896b1adc719a2ff2868a9bfd20d909/6a2a922c/video/tos/no1a/tos-no1a-v-0068-no/AAShkR1F0ZmF0VrNnZJRjQ5Q0QFBXRRZUQDNzaWVUSVFUduVXNB9GA86Hq6jj4miBJCj4gofuw6BDTntdtLOsegRdABwEXYWPYkTo4TtYm1DGXFzMtPaa9gBJ7oqhynWPYMA/?a=0&bti=ODs8NmYvLS86&&bt=34579&ft=cApXJCz7ThWHwda9LGZmo0P&mime_type=video_mp4&rc=M2Q7b3E5cnVqOjMzbzczNUBpM2Q7b3E5cnVqOjMzbzczNUBpamZfMmRrZ2RhLS1kMTFzYSNpamZfMmRrZ2RhLS1kMTFzcw%3D%3D&vvpl=1&l=202606111247015CBC091925D0FA645822&btag=e00070000
"La vie est plus belle avec le permis 🥰 Courage à tout le monde pour l’examen, vous allez tout déchirer 💪 #permis #permisdeconduire #pourtoi #passerlepermis",Driving,Inhouse,UGC,Avant/Après,Problème,Galère de transport,Quai Metro,https://v16m-default.tiktokcdn.com/6ea1b36df2bac9eb62b6306f74bd710c/6a2a90ed/video/tos/no1a/tos-no1a-v-0068c001-no/AAIRUaM9ERMZDVBpUQmpXRGZTS0EkZJdkaKVVQJVXS5YWQ4c1UF9GAyIcKBcc9liRNIte0mQtJ7BjHNl3v3YyeghmL17rHSZPYUNSanp0U2DGD3fql9fR2DG8rgKPJbk9gxA/?a=0&bti=ODs8NmYvLS86&&bt=42204&ft=cApXJCz7ThWHAXa9LGZmo0P&mime_type=video_mp4&rc=MzdrcXg5cnFrOjMzbzczNUBpMzdrcXg5cnFrOjMzbzczNUBpbmsyMmRzMWJhLS1kMTFzYSNpbmsyMmRzMWJhLS1kMTFzcw%3D%3D&vvpl=1&l=20260611124137F6133C54EC5C9F5485CD&btag=e00070000
Driving_Video_Inhouse_Dimitri_driving_ecran_metro_soleil_9-16_StIgRAUL.mp4,Driving,Inhouse,UGC,Avant/Après,Problème,Galère de transport,Ecran RER,https://v16m-default.tiktokcdn.com/a0167cce5327663a9cb139f4f8eaaabd/6a2a90ee/video/tos/useast2a/tos-useast2a-v-0051c799-euttp/og7AECA1AwOEg8m9GiNuPQLAd6cBDi5eqoTXZB/?a=0&bti=ODs8NmYvLS86&&bt=3927&ft=cApXJCz7ThWHAXa9LGZmo0P&mime_type=video_mp4&rc=MzprOHI5cmc0OzMzODYzNEBpMzprOHI5cmc0OzMzODYzNEBla2ozMmQ0cWRhLS1kMDFzYSNla2ozMmQ0cWRhLS1kMDFzcw%3D%3D&vvpl=1&l=20260611124137F6133C54EC5C9F5485CD&btag=e00070000
SHORT_THEORY_9-16_Maman_Rebranded_WJftBKdQ.mp4,Theory,Short,Micro-trottoir,Testimonial,Preuve sociale,,Maman,https://v16m-default.tiktokcdn.com/3d014fae0bb795e012bf2d321a69abc9/6a2a9244/video/tos/useast2a/tos-useast2a-v-0051c799-euttp/o4TeQlJGAGITAAeaEZXCeLdZuDgLpRbVbsSFZC/?a=0&bti=ODs8NmYvLS86&&bt=10078&ft=cApXJCz7ThWHwda9LGZmo0P&mime_type=video_mp4&rc=Mzd5O2w5cnJnOjMzODYzNEBpMzd5O2w5cnJnOjMzODYzNEBfZ2ZzMmRramxhLS1kMC1zYSNfZ2ZzMmRramxhLS1kMC1zcw%3D%3D&vvpl=1&l=202606111247015CBC091925D0FA645822&btag=e00048000
Copie de Theory_Getpov_pov-theory-0eur-9-16_K0jI3Jxv.mp4,Theory,Getpov,UGC,Testimonial,Prix,,Zero euro,
Copie de Driving_Video_Getpov_ugc-promo-1ere-ae-fille-avec-encart-9-16_uhD2ZlFA.mp4,Driving,Getpov,UGC,Testimonial,Prix,,Promo,
Encore un signe pour passer mon permis avec Ornikar 👀 Lien en bio 👉 #permis #ornikar #permisdeconduire #autoecole,Driving,Inhouse,POV,Signe de l'univers,Problème,Galère de transport,Ecran Metro,
Image carousel 7,Theory,Inhouse,Static,Prix,Prix,Fil rouge,,
Image carousel 6,Driving,Inhouse,Static,Promo,Prix,Promo,,
"Le démarrage en côte sans caler, ça s’apprend 💪 Marjorie te montre les étapes une par une. Enregistre la vidéo avant ton prochain cours 😉 #permisdeconduire #demarrageencote #permis",Driving,Inhouse,Pedago,How-to,Bénéfice,,Démarrage en côte,
Driving_Video_Inhouse_Promo_IDF.mp4,Driving,Inhouse,Micro-trottoir,Street Reaction,Surprise,,Affiche Metro,
Copie de Theory_Getpov_pov-theory-10minutes-9-16_uyMdn3RF.mp4,Theory,Getpov,UGC,Testimonial,Feature,,10 minutes,
Driving_Video_Getpov_NathalieB_driving_mai_telephone_9-16_BPcbjNaO.mp4,Driving,Getpov,UGC,Testimonial,Feature,,Nathalie B,
Driving_Video_Inhouse_Louise_driving_mai_telephone_9-16_L9F4DluY.mp4,Driving,Inhouse,UGC,Testimonial,Feature,,Louise,
"Si toi aussi t’oses pas poser certaines questions, on y répond 🫣 Écris en commentaire les questions auxquelles tu voudrais que notre monitrice Marjorie réponde 😎 #ornikar #permis #permisdeconduire #codedelaroute",Driving,Inhouse,Pedago,FAQ,Autorité,,Marjorie,
Driving_Video_Getpov_Jonathan_driving_mai_telephone_9-16_t4DBSi39.mp4,Driving,Getpov,UGC,Testimonial,Bénéfice,Cheat code,Jonathan,
Copie de Driving_Video_Getpov_ugc-promo-idee-fille-avec-encart-9-16_oDCadR4V.mp4,Driving,Getpov,UGC,Testimonial,Prix,Promo,Fille,
Theory_Video_Getpov_Pov_pas_une_question_de_chance_remontage_prix_abonnement_2026.mp4,Theory,Getpov,UGC,Testimonial,Feature,,Lionel Prix,
Theory_Video_Getpov_Pov_pas_une_question_de_chance_remontage_priceless_2026.mp4,Theory,Getpov,UGC,Testimonial,Feature,,Lionel Priceless,
GETPOV_ugc-reassurance-fille-9-16 (1)_s2uBdWpS.mp4,Driving,Getpov,UGC,Testimonial,Réassurance,,Fille,
